"","MosqPerL","WayPt_ID","Address","LatY","LongX","DispX","DispY","Neighborhood","MosqSpp","Date","Day","Month","Year","EpiWeek","Sampledtire","NSampledTires","water_L","no_cover","open.","w_cover","veg_cover.","veg_in_tire","chir","cer","tox","tris","noto","oligo","mites","dyticid","cop","ostra","daph","rubber","inverts","seeds","sticks","man.made","cpm","fpm","leaf","rocks","algae_moss","shells","grass","comments","Buffer","Area_km2","Open.Water","Developed.Open.Space","Developed.Low.Intensity","Developed.Medium.Intensity","Developed.High.Intensity","Barren.Land","Deciduous.Forest","Shrub.Scrub","Grassland.Herbaceous","Pasture.Hay","Cultivated.Crops","Woody.Wetlands","Emergent.Herbaceous.Wetlands","PovPast12M","Unemp","Employed","NoSchool","SomeColleg","AssDegree","Bachelors","Masters","ProfDegree","PhD","Rented_Unocupied","SoldUnocup","OtherVacan","Adj_X","Adj_Y","optional"
"11",0.91743119266055,"WP1","St. Maurice / N Miro",29.970221,-90.005592,NA,1899-12-31 00:00:00,"Lower Ninth","Cx. quinq",2018-03-07,7,3,2018,10,2,34,1.09,79.67,82.8568,16.33,17.1432,"n",5,4,0,0,0,0,0,0,"n","y","n",0,0.1,0.7,0,0,0,0.5,4,0,0,0,0,NA,"2km",12.5655373282549,1.5237,0.6183,3.4578,1.9431,0.2925,0.1017,0.0153,0.0684,0,0,0,0.3897,0.5238,2024,20897,13048,506,1368,1262,5903,2593,907,617,272,97,4443,788.956079195115,3319.259751107,TRUE
"12",67.515923566879,"WP1","St. Maurice / N Miro",29.970221,-90.005592,1899-12-31 00:00:01,NA,"Lower Ninth","Cx. quinq",2018-03-07,7,3,2018,10,3,34,0.785,0,0,0,100,"y",6,9,0,0,0,0,0,0,"n","y","n",0,0.1,0,0,0,0,0,6,0,0,0,0,"vegetation in tire","2km",12.5655373282549,1.5237,0.6183,3.4578,1.9431,0.2925,0.1017,0.0153,0.0684,0,0,0,0.3897,0.5238,2024,20897,13048,506,1368,1262,5903,2593,907,617,272,97,4443,788.956266485845,3319.25997792057,TRUE
"13",0,"WP1","St. Maurice / N Miro",29.970221,-90.005592,1899-12-31 00:00:00,NA,"Lower Ninth","A. crucians",2018-03-07,7,3,2018,10,1,34,1.33,61,63.44,35,36.56,"n",0,3,0,0,0,0,0,0,"n","n","n",0,0.1,1.4,0,0,0,0,11.5,0,0,0,0,NA,"2km",12.5655373282549,1.5237,0.6183,3.4578,1.9431,0.2925,0.1017,0.0153,0.0684,0,0,0,0.3897,0.5238,2024,20897,13048,506,1368,1262,5903,2593,907,617,272,97,4443,788.956278076181,3319.25953438475,TRUE
"14",0,"WP1","St. Maurice / N Miro",29.970221,-90.005592,1899-12-31 00:00:00,1899-12-31 00:00:01,"Lower Ninth","A. crucians",2018-03-07,7,3,2018,10,2,34,1.09,79.67,82.8568,16.33,17.1432,"n",5,4,0,0,0,0,0,0,"n","y","n",0,0.1,0.7,0,0,0,0.5,4,0,0,0,0,NA,"2km",12.5655373282549,1.5237,0.6183,3.4578,1.9431,0.2925,0.1017,0.0153,0.0684,0,0,0,0.3897,0.5238,2024,20897,13048,506,1368,1262,5903,2593,907,617,272,97,4443,788.956468264498,3319.25965031436,TRUE
"15",29.2993630573248,"WP1","St. Maurice / N Miro",29.970221,-90.005592,1899-12-31 00:00:01,1899-12-31 00:00:00,"Lower Ninth","A. crucians",2018-03-07,7,3,2018,10,3,34,0.785,0,0,0,100,"y",6,9,0,0,0,0,0,0,"n","y","n",0,0.1,0,0,0,0,0,6,0,0,0,0,"vegetation in tire","2km",12.5655373282549,1.5237,0.6183,3.4578,1.9431,0.2925,0.1017,0.0153,0.0684,0,0,0,0.3897,0.5238,2024,20897,13048,506,1368,1262,5903,2593,907,617,272,97,4443,788.956076297533,3319.25986199096,TRUE
"16",0,"WP1","St. Maurice / N Miro",29.970221,-90.005592,1899-12-31 00:00:01,1899-12-31 00:00:01,"Lower Ninth","Cx. restuans",2018-03-07,7,3,2018,10,1,34,1.33,61,63.44,35,36.56,"n",0,3,0,0,0,0,0,0,"n","n","n",0,0.1,1.4,0,0,0,0,11.5,0,0,0,0,NA,"2km",12.5655373282549,1.5237,0.6183,3.4578,1.9431,0.2925,0.1017,0.0153,0.0684,0,0,0,0.3897,0.5238,2024,20897,13048,506,1368,1262,5903,2593,907,617,272,97,4443,788.956462469326,3319.25987208228,TRUE
"17",17.4311926605505,"WP1","St. Maurice / N Miro",29.970221,-90.005592,1899-12-31 00:00:00,1899-12-31 00:00:00,"Lower Ninth","Cx. restuans",2018-03-07,7,3,2018,10,2,34,1.09,79.67,82.8568,16.33,17.1432,"n",5,4,0,0,0,0,0,0,"n","y","n",0,0.1,0.7,0,0,0,0.5,4,0,0,0,0,NA,"2km",12.5655373282549,1.5237,0.6183,3.4578,1.9431,0.2925,0.1017,0.0153,0.0684,0,0,0,0.3897,0.5238,2024,20897,13048,506,1368,1262,5903,2593,907,617,272,97,4443,788.956082092697,3319.25964022305,TRUE
"18",99.3630573248408,"WP1","St. Maurice / N Miro",29.970221,-90.005592,1899-12-31 00:00:01,1899-12-31 00:00:01,"Lower Ninth","Cx. restuans",2018-03-07,7,3,2018,10,3,34,0.785,0,0,0,100,"y",6,9,0,0,0,0,0,0,"n","y","n",0,0.1,0,0,0,0,0,6,0,0,0,0,"vegetation in tire","2km",12.5655373282549,1.5237,0.6183,3.4578,1.9431,0.2925,0.1017,0.0153,0.0684,0,0,0,0.3897,0.5238,2024,20897,13048,506,1368,1262,5903,2593,907,617,272,97,4443,788.956363028793,3319.2599804434,TRUE
"19",0,"WP1","St. Maurice / N Miro",29.970221,-90.005592,1899-12-31 00:00:00,1899-12-31 00:00:00,"Lower Ninth","Cx. nigripalpus",2018-03-07,7,3,2018,10,1,34,1.33,61,63.44,35,36.56,"n",0,3,0,0,0,0,0,0,"n","n","n",0,0.1,1.4,0,0,0,0,11.5,0,0,0,0,NA,"2km",12.5655373282549,1.5237,0.6183,3.4578,1.9431,0.2925,0.1017,0.0153,0.0684,0,0,0,0.3897,0.5238,2024,20897,13048,506,1368,1262,5903,2593,907,617,272,97,4443,788.956181533231,3319.25953186192,TRUE
"20",0,"WP1","St. Maurice / N Miro",29.970221,-90.005592,1899-12-31 00:00:01,1899-12-31 00:00:00,"Lower Ninth","Cx. nigripalpus",2018-03-07,7,3,2018,10,2,34,1.09,79.67,82.8568,16.33,17.1432,"n",5,4,0,0,0,0,0,0,"n","y","n",0,0.1,0.7,0,0,0,0.5,4,0,0,0,0,NA,"2km",12.5655373282549,1.5237,0.6183,3.4578,1.9431,0.2925,0.1017,0.0153,0.0684,0,0,0,0.3897,0.5238,2024,20897,13048,506,1368,1262,5903,2593,907,617,272,97,4443,788.956169942898,3319.25997539774,TRUE
"21",0,"WP1","St. Maurice / N Miro",29.970221,-90.005592,1899-12-31 00:00:00,1899-12-31 00:00:01,"Lower Ninth","Cx. nigripalpus",2018-03-07,7,3,2018,10,3,34,0.785,0,0,0,100,"y",6,9,0,0,0,0,0,0,"n","y","n",0,0.1,0,0,0,0,0,6,0,0,0,0,"vegetation in tire","2km",12.5655373282549,1.5237,0.6183,3.4578,1.9431,0.2925,0.1017,0.0153,0.0684,0,0,0,0.3897,0.5238,2024,20897,13048,506,1368,1262,5903,2593,907,617,272,97,4443,788.956374619133,3319.25953690758,TRUE
"22",0,"WP10","Tulane / D'Hemecourt",29.964981,-90.09536,NA,NA,"Mid City","A. aeg",2018-04-24,24,4,2018,17,1,68,2.81,96,99.84,0,0,"n",0,0,0,0,0,0,0,0,"n","n","n",0,0,0,0,0,0,0,0,0,0,0,0,"6 access. / large tire (goodyear sra)","2km",12.56553734,0.0135,0.0495,3.1131,5.5539,3.8196,0,0,0,0,0,0,0,0,1786,18944,11674,401,1240,1115,5155,2132,768,488,272,69,3532,780.304707466215,3318.45568388279,TRUE
"23",0,"WP10","Tulane / D'Hemecourt",29.964981,-90.09536,1899-12-31 00:00:00,NA,"Mid City","A. aeg",2018-04-24,24,4,2018,17,2,68,2.63,96,99.84,0,0,"n",505,1,0,0,0,0,0,0,"n","n","n",0,0.1,0,0,0,0,0,0.4,0.1,0,0,0,"6 tires accessible","2km",12.56553734,0.0135,0.0495,3.1131,5.5539,3.8196,0,0,0,0,0,0,0,0,1786,18944,11674,401,1240,1115,5155,2132,768,488,272,69,3532,780.304710276219,3318.45557300341,TRUE
"24",1.06761565836299,"WP10","Tulane / D'Hemecourt",29.964981,-90.09536,1899-12-31 00:00:01,NA,"Mid City","A. albo",2018-04-24,24,4,2018,17,1,68,2.81,96,99.84,0,0,"n",0,0,0,0,0,0,0,0,"n","n","n",0,0,0,0,0,0,0,0,0,0,0,0,"6 access. / large tire (goodyear sra)","2km",12.56553734,0.0135,0.0495,3.1131,5.5539,3.8196,0,0,0,0,0,0,0,0,1786,18944,11674,401,1240,1115,5155,2132,768,488,272,69,3532,780.304704656211,3318.45579476218,TRUE
"25",0.380228136882129,"WP10","Tulane / D'Hemecourt",29.964981,-90.09536,NA,1899-12-31 00:00:01,"Mid City","A. albo",2018-04-24,24,4,2018,17,2,68,2.63,96,99.84,0,0,"n",505,1,0,0,0,0,0,0,"n","n","n",0,0.1,0,0,0,0,0,0.4,0.1,0,0,0,"6 tires accessible","2km",12.56553734,0.0135,0.0495,3.1131,5.5539,3.8196,0,0,0,0,0,0,0,0,1786,18944,11674,401,1240,1115,5155,2132,768,488,272,69,3532,780.304804010325,3318.4556863295,TRUE
"26",0,"WP10","Tulane / D'Hemecourt",29.964981,-90.09536,NA,1899-12-31 00:00:00,"Mid City","Cx. salinarius",2018-04-24,24,4,2018,17,1,68,2.81,96,99.84,0,0,"n",0,0,0,0,0,0,0,0,"n","n","n",0,0,0,0,0,0,0,0,0,0,0,0,"6 access. / large tire (goodyear sra)","2km",12.56553734,0.0135,0.0495,3.1131,5.5539,3.8196,0,0,0,0,0,0,0,0,1786,18944,11674,401,1240,1115,5155,2132,768,488,272,69,3532,780.304610922107,3318.45568143609,TRUE
"27",0,"WP10","Tulane / D'Hemecourt",29.964981,-90.09536,1899-12-31 00:00:01,1899-12-31 00:00:00,"Mid City","Cx. salinarius",2018-04-24,24,4,2018,17,2,68,2.63,96,99.84,0,0,"n",505,1,0,0,0,0,0,0,"n","n","n",0,0.1,0,0,0,0,0,0.4,0.1,0,0,0,"6 tires accessible","2km",12.56553734,0.0135,0.0495,3.1131,5.5539,3.8196,0,0,0,0,0,0,0,0,1786,18944,11674,401,1240,1115,5155,2132,768,488,272,69,3532,780.304608112104,3318.45579231547,TRUE
"28",0,"WP10","Tulane / D'Hemecourt",29.964981,-90.09536,1899-12-31 00:00:00,1899-12-31 00:00:01,"Mid City","Cx. quinq",2018-04-24,24,4,2018,17,1,68,2.81,96,99.84,0,0,"n",0,0,0,0,0,0,0,0,"n","n","n",0,0,0,0,0,0,0,0,0,0,0,0,"6 access. / large tire (goodyear sra)","2km",12.56553734,0.0135,0.0495,3.1131,5.5539,3.8196,0,0,0,0,0,0,0,0,1786,18944,11674,401,1240,1115,5155,2132,768,488,272,69,3532,780.30480682033,3318.45557545012,TRUE
"29",0.760456273764259,"WP10","Tulane / D'Hemecourt",29.964981,-90.09536,1899-12-31 00:00:00,1899-12-31 00:00:00,"Mid City","Cx. quinq",2018-04-24,24,4,2018,17,2,68,2.63,96,99.84,0,0,"n",505,1,0,0,0,0,0,0,"n","n","n",0,0.1,0,0,0,0,0,0.4,0.1,0,0,0,"6 tires accessible","2km",12.56553734,0.0135,0.0495,3.1131,5.5539,3.8196,0,0,0,0,0,0,0,0,1786,18944,11674,401,1240,1115,5155,2132,768,488,272,69,3532,780.30461373211,3318.45557055671,TRUE
"30",0,"WP10","Tulane / D'Hemecourt",29.964981,-90.09536,1899-12-31 00:00:01,1899-12-31 00:00:01,"Mid City","A. crucians",2018-04-24,24,4,2018,17,1,68,2.81,96,99.84,0,0,"n",0,0,0,0,0,0,0,0,"n","n","n",0,0,0,0,0,0,0,0,0,0,0,0,"6 access. / large tire (goodyear sra)","2km",12.56553734,0.0135,0.0495,3.1131,5.5539,3.8196,0,0,0,0,0,0,0,0,1786,18944,11674,401,1240,1115,5155,2132,768,488,272,69,3532,780.30480120032,3318.45579720888,TRUE
"31",0,"WP10","Tulane / D'Hemecourt",29.964981,-90.09536,NA,1899-12-31 00:00:01,"Mid City","A. crucians",2018-04-24,24,4,2018,17,2,68,2.63,96,99.84,0,0,"n",505,1,0,0,0,0,0,0,"n","n","n",0,0.1,0,0,0,0,0,0.4,0.1,0,0,0,"6 tires accessible","2km",12.56553734,0.0135,0.0495,3.1131,5.5539,3.8196,0,0,0,0,0,0,0,0,1786,18944,11674,401,1240,1115,5155,2132,768,488,272,69,3532,780.304900554433,3318.45568877621,TRUE
"32",0,"WP10","Tulane / D'Hemecourt",29.964981,-90.09536,NA,1899-12-31 00:00:00,"Mid City","Cx. restuans",2018-04-24,24,4,2018,17,1,68,2.81,96,99.84,0,0,"n",0,0,0,0,0,0,0,0,"n","n","n",0,0,0,0,0,0,0,0,0,0,0,0,"6 access. / large tire (goodyear sra)","2km",12.56553734,0.0135,0.0495,3.1131,5.5539,3.8196,0,0,0,0,0,0,0,0,1786,18944,11674,401,1240,1115,5155,2132,768,488,272,69,3532,780.304514377997,3318.45567898938,TRUE
"33",0,"WP10","Tulane / D'Hemecourt",29.964981,-90.09536,1899-12-31 00:00:01,NA,"Mid City","Cx. restuans",2018-04-24,24,4,2018,17,2,68,2.63,96,99.84,0,0,"n",505,1,0,0,0,0,0,0,"n","n","n",0,0.1,0,0,0,0,0,0.4,0.1,0,0,0,"6 tires accessible","2km",12.56553734,0.0135,0.0495,3.1131,5.5539,3.8196,0,0,0,0,0,0,0,0,1786,18944,11674,401,1240,1115,5155,2132,768,488,272,69,3532,780.304701846207,3318.45590564156,TRUE
"34",0,"WP10","Tulane / D'Hemecourt",29.964981,-90.09536,1899-12-31 00:00:00,NA,"Mid City","Cx. nigripalpus",2018-04-24,24,4,2018,17,1,68,2.81,96,99.84,0,0,"n",0,0,0,0,0,0,0,0,"n","n","n",0,0,0,0,0,0,0,0,0,0,0,0,"6 access. / large tire (goodyear sra)","2km",12.56553734,0.0135,0.0495,3.1131,5.5539,3.8196,0,0,0,0,0,0,0,0,1786,18944,11674,401,1240,1115,5155,2132,768,488,272,69,3532,780.304713086223,3318.45546212403,TRUE
"35",0,"WP10","Tulane / D'Hemecourt",29.964981,-90.09536,1899-12-31 00:00:00,1899-12-31 00:00:01,"Mid City","Cx. nigripalpus",2018-04-24,24,4,2018,17,2,68,2.63,96,99.84,0,0,"n",505,1,0,0,0,0,0,0,"n","n","n",0,0.1,0,0,0,0,0,0.4,0.1,0,0,0,"6 tires accessible","2km",12.56553734,0.0135,0.0495,3.1131,5.5539,3.8196,0,0,0,0,0,0,0,0,1786,18944,11674,401,1240,1115,5155,2132,768,488,272,69,3532,780.304903364439,3318.45557789683,TRUE
"36",0,"WP11","4112 Clio",29.955318,-90.098778,NA,NA,"Gert Town","A. aeg",2018-04-24,24,4,2018,17,1,15,0.89,96,99.84,0,0,"n",123,8,0,0,0,0,0,0,"n","n","n",0,0,0,0,0,0,0,0,0,0,0,0,NA,"2km",12.5524982256091,0,0.0387,3.6954,5.2056,3.6108,0,0,0,0,0,0,0,0,2015,24649,15862,463,1564,1331,7630,3280,1343,815,298,110,3987,780.001836990847,3317.37590072093,TRUE
"37",0,"WP11","4113 Clio",29.955318,-90.098778,1899-12-31 00:00:00,NA,"Gert Town","A. aeg",2018-04-24,24,4,2018,17,2,15,1.82,96,99.84,0,0,"y",477,2,0,0,0,0,0,0,"n","n","n",0,0,0,0,0,0,0,0,0,0,0,0,"vegetation in tire","2km",12.5524982256091,0,0.0387,3.6954,5.2056,3.6108,0,0,0,0,0,0,0,0,2015,24649,15862,463,1564,1331,7630,3280,1343,815,298,110,3987,780.00183979671,3317.37578984184,TRUE
"38",0,"WP11","4112 Clio",29.955318,-90.098778,1899-12-31 00:00:01,NA,"Gert Town","A. albo",2018-04-24,24,4,2018,17,1,15,0.89,96,99.84,0,0,"n",123,8,0,0,0,0,0,0,"n","n","n",0,0,0,0,0,0,0,0,0,0,0,0,NA,"2km",12.5524982256091,0,0.0387,3.6954,5.2056,3.6108,0,0,0,0,0,0,0,0,2015,24649,15862,463,1564,1331,7630,3280,1343,815,298,110,3987,780.001834184984,3317.37601160002,TRUE
"39",0,"WP11","4113 Clio",29.955318,-90.098778,NA,1899-12-31 00:00:01,"Gert Town","A. albo",2018-04-24,24,4,2018,17,2,15,1.82,96,99.84,0,0,"y",477,2,0,0,0,0,0,0,"n","n","n",0,0,0,0,0,0,0,0,0,0,0,0,"vegetation in tire","2km",12.5524982256091,0,0.0387,3.6954,5.2056,3.6108,0,0,0,0,0,0,0,0,2015,24649,15862,463,1564,1331,7630,3280,1343,815,298,110,3987,780.001933544183,3317.37590316427,TRUE
"40",0,"WP11","4112 Clio",29.955318,-90.098778,NA,1899-12-31 00:00:00,"Gert Town","Cx. salinarius",2018-04-24,24,4,2018,17,1,15,0.89,96,99.84,0,0,"n",123,8,0,0,0,0,0,0,"n","n","n",0,0,0,0,0,0,0,0,0,0,0,0,NA,"2km",12.5524982256091,0,0.0387,3.6954,5.2056,3.6108,0,0,0,0,0,0,0,0,2015,24649,15862,463,1564,1331,7630,3280,1343,815,298,110,3987,780.001740437509,3317.37589827759,TRUE
"41",21.4285714285714,"WP11","4113 Clio",29.955318,-90.098778,1899-12-31 00:00:01,1899-12-31 00:00:00,"Gert Town","Cx. salinarius",2018-04-24,24,4,2018,17,2,15,1.82,96,99.84,0,0,"y",477,2,0,0,0,0,0,0,"n","n","n",0,0,0,0,0,0,0,0,0,0,0,0,"vegetation in tire","2km",12.5524982256091,0,0.0387,3.6954,5.2056,3.6108,0,0,0,0,0,0,0,0,2015,24649,15862,463,1564,1331,7630,3280,1343,815,298,110,3987,780.001737631647,3317.37600915668,TRUE
"42",0,"WP11","4112 Clio",29.955318,-90.098778,1899-12-31 00:00:00,1899-12-31 00:00:01,"Gert Town","Cx. quinq",2018-04-24,24,4,2018,17,1,15,0.89,96,99.84,0,0,"n",123,8,0,0,0,0,0,0,"n","n","n",0,0,0,0,0,0,0,0,0,0,0,0,NA,"2km",12.5524982256091,0,0.0387,3.6954,5.2056,3.6108,0,0,0,0,0,0,0,0,2015,24649,15862,463,1564,1331,7630,3280,1343,815,298,110,3987,780.001936350047,3317.37579228518,TRUE
"43",144.505494505495,"WP11","4113 Clio",29.955318,-90.098778,1899-12-31 00:00:00,1899-12-31 00:00:00,"Gert Town","Cx. quinq",2018-04-24,24,4,2018,17,2,15,1.82,96,99.84,0,0,"y",477,2,0,0,0,0,0,0,"n","n","n",0,0,0,0,0,0,0,0,0,0,0,0,"vegetation in tire","2km",12.5524982256091,0,0.0387,3.6954,5.2056,3.6108,0,0,0,0,0,0,0,0,2015,24649,15862,463,1564,1331,7630,3280,1343,815,298,110,3987,780.001743243371,3317.3757873985,TRUE
"44",0,"WP11","4112 Clio",29.955318,-90.098778,1899-12-31 00:00:01,1899-12-31 00:00:01,"Gert Town","A. crucians",2018-04-24,24,4,2018,17,1,15,0.89,96,99.84,0,0,"n",123,8,0,0,0,0,0,0,"n","n","n",0,0,0,0,0,0,0,0,0,0,0,0,NA,"2km",12.5524982256091,0,0.0387,3.6954,5.2056,3.6108,0,0,0,0,0,0,0,0,2015,24649,15862,463,1564,1331,7630,3280,1343,815,298,110,3987,780.001930738318,3317.37601404337,TRUE
"45",0,"WP11","4113 Clio",29.955318,-90.098778,NA,1899-12-31 00:00:01,"Gert Town","A. crucians",2018-04-24,24,4,2018,17,2,15,1.82,96,99.84,0,0,"y",477,2,0,0,0,0,0,0,"n","n","n",0,0,0,0,0,0,0,0,0,0,0,0,"vegetation in tire","2km",12.5524982256091,0,0.0387,3.6954,5.2056,3.6108,0,0,0,0,0,0,0,0,2015,24649,15862,463,1564,1331,7630,3280,1343,815,298,110,3987,780.00203009752,3317.37590560762,TRUE
"46",0,"WP11","4112 Clio",29.955318,-90.098778,NA,1899-12-31 00:00:00,"Gert Town","Cx. restuans",2018-04-24,24,4,2018,17,1,15,0.89,96,99.84,0,0,"n",123,8,0,0,0,0,0,0,"n","n","n",0,0,0,0,0,0,0,0,0,0,0,0,NA,"2km",12.5524982256091,0,0.0387,3.6954,5.2056,3.6108,0,0,0,0,0,0,0,0,2015,24649,15862,463,1564,1331,7630,3280,1343,815,298,110,3987,780.001643884173,3317.37589583425,TRUE
"47",37.9120879120879,"WP11","4113 Clio",29.955318,-90.098778,1899-12-31 00:00:01,NA,"Gert Town","Cx. restuans",2018-04-24,24,4,2018,17,2,15,1.82,96,99.84,0,0,"y",477,2,0,0,0,0,0,0,"n","n","n",0,0,0,0,0,0,0,0,0,0,0,0,"vegetation in tire","2km",12.5524982256091,0,0.0387,3.6954,5.2056,3.6108,0,0,0,0,0,0,0,0,2015,24649,15862,463,1564,1331,7630,3280,1343,815,298,110,3987,780.00183137912,3317.37612247912,TRUE
